transliterated,reference,distance,features,address
yaϑā,yaϑā,0,[],"[{'id': 'Y0.5YAV', 'index': 0}]"
ahī,ahū,0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.5YAV', 'index': 1}]"
vairiiō,vairiiō,0,[],"[{'id': 'Y0.5YAV', 'index': 2}]"
frastuiiē,fərastuiiē,1,"[{'type': 'delete', 'from': 'ə', 'str': 'ə deleted', 'is_documented': True, 'description': 'Vowel syncope: loss of short ə, especially before semivowels.'}]","[{'id': 'Y0.5YAV', 'index': 3}, {'id': 'Y0.6a', 'index': 0}]"
humatōibiiascā,humatōibiiascā,0,[],"[{'id': 'Y0.6a', 'index': 1}, {'id': 'Y0.6a', 'index': 2}]"
hīxtōibiiascā,hūxtōibiiascā,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.6a', 'index': 3}]"
huuarəštōibiiscā,huuarštōibiiascā,2,"[{'type': 'insert', 'to': 'ə', 'str': 'ə inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}, {'type': 'delete', 'from': 'a', 'str': 'a deleted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.6a', 'index': 4}, {'id': 'Y0.6a', 'index': 5}]"
mąϑβōibiiascā,mąϑβōibiiascā,0,[],"[{'id': 'Y0.6a', 'index': 6}]"
vaxəδβōibiiascā,vaxəδβōibiiascā,0,[],"[{'id': 'Y0.6a', 'index': 7}]"
varəštuuōibiiascā,varštuuōibiiascā,1,"[{'type': 'insert', 'to': 'ə', 'str': 'ə inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.6a', 'index': 8}, {'id': 'Y0.6a', 'index': 9}]"
aibīgairiiā,aibīgairiiā,0,[],"[{'id': 'Y0.6a', 'index': 10}, {'id': 'Y0.6b', 'index': 0}]"
daiϑī,daiϑē,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ē', 'str': 'ē for ī', 'is_documented': False, 'description': None}]","[{'id': 'Y0.6b', 'index': 1}]"
vīspā,vīspā,0,[],"[{'id': 'Y0.6b', 'index': 2}, {'id': 'Y0.6b', 'index': 3}]"
humatācā,humatācā,0,[],"[{'id': 'Y0.6b', 'index': 4}]"
hīxtācā,hūxtācā,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.6b', 'index': 5}]"
huuarštācā,huuarštācā,0,[],"[{'id': 'Y0.6b', 'index': 6}]"
paitirəcā,paitīriciiā,3,"[{'type': 'replace', 'from': 'i', 'to': 'ī', 'str': 'ī for i', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ə', 'to': 'i', 'str': 'i for ə', 'is_documented': True, 'description': 'ə used for i, especially in Iranian manuscripts.'}, {'type': 'delete', 'from': 'ii', 'str': 'ii deleted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.6c', 'index': 0}]"
paitirəciiā,paitīriciiā,2,"[{'type': 'replace', 'from': 'i', 'to': 'ī', 'str': 'ī for i', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ə', 'to': 'i', 'str': 'i for ə', 'is_documented': True, 'description': 'ə used for i, especially in Iranian manuscripts.'}]","[{'id': 'Y0.6c', 'index': 1}]"
paitirəcā,paitīriciiā,3,"[{'type': 'replace', 'from': 'i', 'to': 'ī', 'str': 'ī for i', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ə', 'to': 'i', 'str': 'i for ə', 'is_documented': True, 'description': 'ə used for i, especially in Iranian manuscripts.'}, {'type': 'delete', 'from': 'ii', 'str': 'ii deleted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.6c', 'index': 2}]"
paitirəciiā,paitīriciiā,2,"[{'type': 'replace', 'from': 'i', 'to': 'ī', 'str': 'ī for i', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ə', 'to': 'i', 'str': 'i for ə', 'is_documented': True, 'description': 'ə used for i, especially in Iranian manuscripts.'}]","[{'id': 'Y0.6c', 'index': 3}]"
diiϑə̄,daiϑē,3,"[{'type': 'replace', 'from': 'ii', 'to': 'ai', 'str': 'ai for ii', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ə̄', 'to': 'ē', 'str': 'ē for ə̄', 'is_documented': False, 'description': None}]","[{'id': 'Y0.6c', 'index': 4}]"
vīspā,vīspā,0,[],"[{'id': 'Y0.6c', 'index': 5}]"
dušmatācā,dušmatācā,0,[],"[{'id': 'Y0.6c', 'index': 6}]"
dužīxtācā,dužūxtācā,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.6c', 'index': 7}, {'id': 'Y0.6c', 'index': 8}]"
